Site,Sample.Month,Replicate,FBOM.AFDM.g.m2.,,,,,,,,
EASÊ,October.2023,1,0,,,,,,,,
EASÊ,October.2023,2,70.63,,,,,,,,
EASÊ,October.2023,3,35.04,,,,,,,,
EASÊ,October.2023,4,169.37,,,,,,,,
EAS,October.2023,5,120.49,,,,,,,,
RUT,October.2023,1,203,,,,,,,,
RUT,October.2023,2,311.42,,,,,,,,
RUT,October.2023,3,184.79,,,,,,,,
RUT,October.2023,4,266.09,,,,,,,,
RUT,October.2023,5,132.48,,,,,,,,
LLW,October.2023,1,446.96,,,,,,,,
LLW,October.2023,2,45.26,,,,,,,,
LLW,October.2023,3,19.84,,,,,,,,
LLW,October.2023,4,4.05,,,,,,,,
LLW,October.2023,5,321.51,,,,,,,,
CRO,October.2023,1,29.29,,,,,,,,
CRO,October.2023,2,330.37,,,,,,,,
CRO,October.2023,3,92.57,,,,,,,,
CRO,October.2023,4,32.79,,,,,,,,
LLC,October.2023,1,50.4,,,,,,,,
LLC,October.2023,2,80,,,,,,,,
LLC,October.2023,3,1.78,,,,,,,,
LLC,October.2023,4,7.77,,,,,,,,
HCN,October.2023,2,70.15,,,,,,,,
HCN,October.2023,3,85.92,,,,,,,,
HCN,October.2023,4,95.85,,,,,,,,
HCN,October.2023,5,64.03,,,,,,,,
HUR,October.2023,1,406.71,,,,,,,,
HUR,October.2023,2,100.51,,,,,,,,
HUR,October.2023,3,77.19,,,,,,,,
HUR,October.2023,4,68.64,,,,,,,,
HUR,October.2023,5,135.29,,,,,,,,
FRY,October.2023,1,114.14,,,,,,,,
FRY,October.2023,2,130.37,,,,,,,,
FRY,October.2023,3,133.31,,,,,,,,
FRY,October.2023,4,259.24,,,,,,,,
FRY,October.2023,5,141.33,,,,,,,,
RIC,October.2023,1,434.27,,,,,,,,
RIC,October.2023,2,52.2,,,,,,,,
RIC,October.2023,3,49.42,,,,,,,,
RIC,October.2023,4,270.93,,,,,,,,
RIC,October.2023,5,223.51,,,,,,,,
EASÊ,February.2024,1,45,,,,,,,,
EASÊ,February.2024,2,169.85,,,,,,,,
EASÊ,February.2024,3,66.03,,,,,,,,
EASÊ,February.2024,4,54.69,,,,,,,,
EAS,February.2024,5,67.51,,,,,,,,
RUT,February.2024,1,38.06,,,,,,,,
RUT,February.2024,2,24.4,,,,,,,,
RUT,February.2024,3,21.59,,,,,,,,
RUT,February.2024,4,314.22,,,,,,,,
RUT,February.2024,5,118.01,,,,,,,,
LLW,February.2024,1,75.2,,,,,,,,
LLW,February.2024,2,88.62,,,,,,,,
LLW,February.2024,3,31.94,,,,,,,,
LLW,February.2024,4,392.54,,,,,,,,
LLW,February.2024,5,17.8,,,,,,,,
CRO,February.2024,1,23.93,,,,,,,,
CRO,February.2024,2,39.31,,,,,,,,
CRO,February.2024,3,16.12,,,,,,,,
CRO,February.2024,4,22.75,,,,,,,,
CRO,February.2024,5,130.07,,,,,,,,
LLC,February.2024,1,17.48,,,,,,,,
LLC,February.2024,2,29.85,,,,,,,,
LLC,February.2024,3,11.26,,,,,,,,
LLC,February.2024,5,17.02,,,,,,,,
HCN,February.2024,1,13.11,,,,,,,,
HCN,February.2024,2,442.45,,,,,,,,
HCN,February.2024,3,7.33,,,,,,,,
HCN,February.2024,4,61.45,,,,,,,,
HCN,February.2024,5,178.37,,,,,,,,
HUR,February.2024,1,72.85,,,,,,,,
HUR,February.2024,2,74.95,,,,,,,,
HUR,February.2024,3,42.76,,,,,,,,
HUR,February.2024,4,1061.97,,,,,,,,
HUR,February.2024,5,591.6,,,,,,,,
FRY,February.2024,1,19.2,,,,,,,,
FRY,February.2024,2,664.63,,,,,,,,
FRY,February.2024,3,46.8,,,,,,,,
FRY,February.2024,4,185.78,,,,,,,,
FRY,February.2024,5,84.73,,,,,,,,
RIC,February.2024,1,98.52,,,,,,,,
RIC,February.2024,2,202.3,,,,,,,,
RIC,February.2024,3,164.55,,,,,,,,
RIC,February.2024,4,42.53,,,,,,,,
RIC,February.2024,5,14.22,,,,,,,,
RIC,May.2024,1,272.5,,,,,,,,
RIC,May.2024,2,1134.87,,,,,,,,
RIC,May.2024,3,1442.65,,,,,,,,
RIC,May.2024,4,511.45,,,,,,,,
RIC,May.2024,5,146.93,,,,,,,,
LLC,May.2024,1,147.5,,,,,,,,
LLC,May.2024,2,33.3,,,,,,,,
LLC,May.2024,3,183,,,,,,,,
LLC,May.2024,4,281.05,,,,,,,,
LLC,May.2024,5,62.7,,,,,,,,
LLW,May.2024,1,32.67,,,,,,,,
LLW,May.2024,2,41.43,,,,,,,,
LLW,May.2024,3,155.83,,,,,,,,
LLW,May.2024,4,113.57,,,,,,,,
LLW,May.2024,5,53,,,,,,,,
CRO,May.2024,1,252.78,,,,,,,,
CRO,May.2024,2,494,,,,,,,,
CRO,May.2024,3,64.21,,,,,,,,
CRO,May.2024,4,311.75,,,,,,,,
RUT,May.2024,1,227.73,,,,,,,,
RUT,May.2024,2,75.26,,,,,,,,
RUT,May.2024,3,1315.56,,,,,,,,
RUT,May.2024,4,3366.36,,,,,,,,
RUT,May.2024,5,217.88,,,,,,,,
HUR,May.2024,2,848.29,,,,,,,,
HUR,May.2024,3,42.35,,,,,,,,
HUR,May.2024,4,585.41,,,,,,,,
HUR,May.2024,5,103.68,,,,,,,,
FRY,May.2024,1,40.32,,,,,,,,
FRY,May.2024,2,1594.25,,,,,,,,
FRY,May.2024,3,233.53,,,,,,,,
FRY,May.2024,4,85.98,,,,,,,,
FRY,May.2024,5,265.12,,,,,,,,
EAS,May.2024,2,198.94,,,,,,,,
EAS,May.2024,3,148.6,,,,,,,,
EAS,May.2024,4,1740,,,,,,,,
EAS,May.2024,5,258.64,,,,,,,,
HCN,May.2024,1,29.61,,,,,,,,
HCN,May.2024,2,270.43,,,,,,,,
HCN,May.2024,3,21,,,,,,,,
HCN,May.2024,4,282.89,,,,,,,,
HCN,May.2024,5,632,,,,,,,,
EASÊ,August.2024,1,3521.89,,,,,,,,
EASÊ,August.2024,2,266.8,,,,,,,,
EASÊ,August.2024,3,482.33,,,,,,,,
EASÊ,August.2024,4,290.7,,,,,,,,
EAS,August.2024,5,249.34,,,,,,,,
RUT,August.2024,1,462.43,,,,,,,,
RUT,August.2024,2,674.44,,,,,,,,
RUT,August.2024,3,190.56,,,,,,,,
RUT,August.2024,4,527.16,,,,,,,,
RUT,August.2024,5,864.5,,,,,,,,
LLW,August.2024,1,28.2,,,,,,,,
LLW,August.2024,2,49.09,,,,,,,,
LLW,August.2024,3,229.33,,,,,,,,
LLW,August.2024,4,230.58,,,,,,,,
LLW,August.2024,5,184.3,,,,,,,,
CRO,August.2024,1,332.64,,,,,,,,
CRO,August.2024,2,331.31,,,,,,,,
CRO,August.2024,3,112.18,,,,,,,,
CRO,August.2024,4,964.87,,,,,,,,
CRO,August.2024,5,1739.5,,,,,,,,
LLC,August.2024,1,644.4,,,,,,,,
LLC,August.2024,2,488.73,,,,,,,,
LLC,August.2024,3,1072.13,,,,,,,,
LLC,August.2024,5,2876.84,,,,,,,,
HCN,August.2024,1,180,,,,,,,,
HCN,August.2024,2,1406,,,,,,,,
HCN,August.2024,3,353.06,,,,,,,,
HCN,August.2024,4,731,,,,,,,,
HCN,August.2024,5,817.43,,,,,,,,
HUR,August.2024,1,155.75,,,,,,,,
HUR,August.2024,2,266.85,,,,,,,,
HUR,August.2024,3,39.6,,,,,,,,
HUR,August.2024,4,753.71,,,,,,,,
HUR,August.2024,5,65.19,,,,,,,,
FRY,August.2024,1,75.77,,,,,,,,
FRY,August.2024,2,128.57,,,,,,,,
FRY,August.2024,3,61.21,,,,,,,,
FRY,August.2024,4,6187,,,,,,,,
FRY,August.2024,5,339.08,,,,,,,,
RIC,August.2024,1,1318.09,,,,,,,,
RIC,August.2024,2,1568,,,,,,,,
RIC,August.2024,3,343.27,,,,,,,,
RIC,August.2024,4,592.14,,,,,,,,
RIC,August.2024,5,410.49,,,,,,,,