Sample Date,Fraction,Replicate ,Order,Family,Genus,1,2,3,4,5,6,7,8,9,10,BIOMASS STARTS HERE,1,2,3,4,5,6,7,8,9,10,Aundance,Density,Biomass
9/19/23,< 1,1,Ephemeroptera,Baetidae,Acentrella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Ephemeroptera,Baetidae,Acerpenna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Plecoptera,Perlidae,Acroneuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Plecoptera,Adult,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Adult,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Plecoptera,Capniidae,Allocapnia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Stratiomyidae,Allognasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Plecoptera,Chloroperlidae,Alloperla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Ephemeroptera,Ameletidae,Ameletus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Plecoptera,Nemouridae,Amphinemura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Limoniidae,Antocha,0,0,1,0,0,0,0,0,0,0,0,0,0,0.06009253,0,0,0,0,0,0,0,1,10.76426265,0.06009253
9/19/23,< 1,1,Diptera,Athericidae,Atherix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Ephemeroptera,Ephemerellidae,Attenella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Ephemeroptera,Baetidae,Baetis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Ephemeroptera,Baetidae,Baetidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Ephemeroptera,Baetiscidae,Baetisca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Odonata,Aeshnidae,Boyeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Odonata,Calopterygidae,Calopteryx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Plecoptera,Capniidae,Capniidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Trichoptera,Polycentropodidae,Cernotina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Megaloptera,Corydalidae,Chauloides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Empididae,Chelifera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Trichoptera,Hydropsychidae,Cheumatopsyche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Trichoptera,Philopotamidae,Chimarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Chironomidae,Chironomidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Chironomidae,Chironomini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Coleoptera,Circulionidae,Circulionidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Hexapoda,Collembola,Collembola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Trichoptera,Polycentropodidae,Cyrnellus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Pediciidae,Dicranota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Trichoptera,Hydropsychidae,Diplectrona,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.185179649,0,0,0,0,0,0,1,10.76426265,0.185179649
9/19/23,< 1,1,Diptera,Ephydridae,Discocerina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Dixidae,Dixa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Dixidae,Dixella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Trichoptera,Philopotamidae,Dolophilodes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Coleoptera,Psephenidae,Ectopria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Tipulidae,Eloeophila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Ephemeroptera,Ephemeridae,Ephemera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Ephemeroptera,Heptageniidae,Epeorus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Eriopterini,Eriopterini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Ephemeroptera,Ephemerellidae,Eurylophella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Hemiptera,Gerridae,Gerris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Trichoptera,Glossosomatidae,Glossosoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Trichoptera,Goeridae,Goera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Odonata,Gomphidae,Gomphurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Coleoptera,Gyrinidae,Gyrinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Ephemeroptera,Heptageniidae,Heptageniidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Odonata,Calopterygidae,Hetaerina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Limoniidae,Hexatoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Trombidiformes,Hydrachnidia,Hydrachnia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Trichoptera,Limnephilidae,Hydratophylax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Trichoptera,Hydropsychidae,Hydropsyche,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.48024347,0,0,0,0,0,1,10.76426265,0.48024347
9/19/23,< 1,1,Ephemeroptera,Isonychiidae,Isonychia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Plecoptera,Perlodidae,Isoperla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Lepidoptera,Crambidae,Langessa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Odonata,Gomphidae,Lanthus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Ephemeroptera,Leptophlebiidae,Leptophlebiidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Trichoptera,Lepidostomatidae,Lepidostoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Plecoptera,Leuctridae,Leuctra,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.125623495,0,0,0,0,0,0,1,10.76426265,0.125623495
9/19/23,< 1,1,Plecoptera,Leuctridae,Leuctridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Trichoptera,Limnephilidae,Limnephilidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Limoniidae,Limnophila,0,0,1,0,0,0,0,0,0,0,0,0,0,0.026218656,0,0,0,0,0,0,0,1,10.76426265,0.026218656
9/19/23,< 1,1,Diptera,Limoniidae,Limoniidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Psychomyiidae,Lypodiversa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Trichoptera,Brachycentridae,Micrasema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Hemiptera,Veliidae,Microvelia,0,2,0,0,0,0,0,0,0,0,0,0,0.113780644,0,0,0,0,0,0,0,0,2,21.5285253,0.113780644
9/19/23,< 1,1,Diptera,Limoniidae,Molophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Ephemeroptera,Baetidae,Neocleon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Trichoptera,Thremmatidae,Neophylax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Empididae,Neoplasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Megaloptera,Corydalidae,Nigronia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Coleoptera,Elmidae,Optioservus(A),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Coleoptera,Elmidae,Optioservus(L),0,2,2,0,0,0,0,0,0,0,0,0,0.060693669,0.201545691,0,0,0,0,0,0,0,4,43.05705059,0.262239359
9/19/23,< 1,1,Diptera,Empididae,Oreogeton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Chironominae,Orthocladine,0,5,1,0,1,0,0,0,0,0,0,0,0.047700355,0.023793663,0,0.075250326,0,0,0,0,0,7,75.34983854,0.146744344
9/19/23,< 1,1,Coleoptera,Elmidae,Oulimnius(A),1,3,1,0,0,0,0,0,0,0,0,0.06387,0.19161,0.06387,0,0,0,0,0,0,0,5,53.82131324,0.31935
9/19/23,< 1,1,Coleoptera,Elmidae,Oulimnius(L),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Plecoptera,Capniidae,Paracapnia,0,0,2,0,0,0,0,0,0,0,0,0,0,0.122939247,0,0,0,0,0,0,0,2,21.5285253,0.122939247
9/19/23,< 1,1,Ephemeroptera,Leptophlebiidae,Paraleptophlebiidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Trichoptera,Polycentropodidae,Polycentropodidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Trichoptera,Polycentropodidae,Polycentropus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Ceratopogonidae,Probezzia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Coleoptera,Dytiscidae,Prodaticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Simuliidae,Prosimulium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Plecoptera,Nemouridae,Prostoia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Coleoptera,Psephenidae,Psephenus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Tipulidae,Pseudolimnophila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Plecoptera,Pteronarcyidae,Pteronarcys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Trichoptera,Pupa,Pupa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Pupa,Pupa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Chironomidae,Pupa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Trichoptera,Limnephilidae,Pycnopsyche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Plecoptera,Perlodidae,Remenus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Hemiptera,Veliidae,Rhagovelia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Trichoptera,Rhyacophilidae,Rhyacophila,0,5,0,0,0,0,0,0,0,0,0,0,0.276159246,0,0,0,0,0,0,0,0,5,53.82131324,0.276159246
9/19/23,< 1,1,Megaloptera,Sialidae,Sialis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Simuliidae,Simulium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Gastropoda,Lymnaidae,Stagnicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Coleoptera,Elmidae,Stenelmis (A),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Coleoptera,Elmidae,Stenelmis (L),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Ephemeroptera,Heptageniidae,Stenonema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Stratiomyidae,Stratiomyidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Odonata,Gomphidae,Stylogomphus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Plecoptera,Peltoperlidae,Tallaperla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Plecoptera,Taeniopterygidae,Taeniopteryx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Tanypodinae,Tanypodinae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Chironominae,Tanytarsini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Diptera,Tipulidae,Tipula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Odonata,Aeshnidae,Triacanthagyna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Trichoptera,Philopotamidae,Wormaldia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,1,Odonata,Cordulegastridae,Zoraena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Ephemeroptera,Baetidae,Acentrella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Ephemeroptera,Baetidae,Acerpenna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Plecoptera,Perlidae,Acroneuria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Plecoptera,Adult,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Diptera,Adult,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Plecoptera,Capniidae,Allocapnia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Diptera,Stratiomyidae,Allognasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Plecoptera,Chloroperlidae,Alloperla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Ephemeroptera,Ameletidae,Ameletus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Plecoptera,Nemouridae,Amphinemura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Diptera,Limoniidae,Antocha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Diptera,Athericidae,Atherix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Ephemeroptera,Ephemerellidae,Attenella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Ephemeroptera,Baetidae,Baetis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Ephemeroptera,Baetidae,Baetidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Ephemeroptera,Baetiscidae,Baetisca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Odonata,Aeshnidae,Boyeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Odonata,Calopterygidae,Calopteryx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Plecoptera,Capniidae,Capniidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Trichoptera,Polycentropodidae,Cernotina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Megaloptera,Corydalidae,Chauloides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Diptera,Empididae,Chelifera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Trichoptera,Hydropsychidae,Cheumatopsyche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Trichoptera,Philopotamidae,Chimarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Diptera,Chironomidae,Chironomidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Diptera,Chironomidae,Chironomini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Coleoptera,Circulionidae,Circulionidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/19/23,< 1,2,Hexapoda,Collembola,Collembola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
