Site,Month ,Specific conductivity
EAS,Sep-23,25.0
EAS,Oct-23,15.1
EAS,Nov-23,19.2
EAS,Dec-23,13.0
EAS,Jan-24,11.1
EAS,Feb-24,12.3
EAS,May-24,21.6
EAS,Aug-24,26.4
CRO,Sep-23,67.7
CRO,Oct-23,46.7
CRO,Nov-23,7.3
CRO,Dec-23,5.8
CRO,Jan-24,12.7
CRO,Feb-24,45.2
CRO,May-24,62.2
CRO,Aug-24,72.0
HCN,Sep-23,90.3
HCN,Oct-23,110.9
HCN,Nov-23,107.3
HCN,Dec-23,50.9
HCN,Jan-24,37.3
HCN,Feb-24,44.0
HCN,May-24,50.7
HCN,Aug-24,121.6
FRY,Sep-23,463.4
FRY,Oct-23,431.2
FRY,Nov-23,374.3
FRY,Dec-23,293.3
FRY,Jan-24,175.1
FRY,Feb-24,126.1
FRY,May-24,361.6
FRY,Aug-24,397.2
HUR,Sep-23,283.1
HUR,Oct-23,363.3
HUR,Nov-23,298.2
HUR,Dec-23,232.1
HUR,Jan-24,186.8
HUR,Feb-24,319.0
HUR,May-24,357.8
HUR,Aug-24,300.6
RUT,Sep-23,586.3
RUT,Oct-23,593.5
RUT,Nov-23,519.1
RUT,Dec-23,359.7
RUT,Jan-24,202.2
RUT,Feb-24,341.8
RUT,May-24,501.0
RUT,Aug-24,470.2
RIC,Sep-23,1490.0
RIC,Oct-23,1357.9
RIC,Nov-23,1131.0
RIC,Dec-23,931.9
RIC,Jan-24,713.4
RIC,Feb-24,1044.0
RIC,May-24,1367.0
RIC,Aug-24,1443.4
LLC,Sep-23,1192.6
LLC,Oct-23,1317.6
LLC,Nov-23,1037.6
LLC,Dec-23,779.6
LLC,Jan-24,586.3
LLC,Feb-24,1088.0
LLC,May-24,1271.0
LLC,Aug-24,1787.8
LLW,Oct-23,1339.0
LLW,Feb-24,942.0
LLW,May-24,716.0
LLW,Aug-24,1198.7