Date,Sample.Month,Site,Type,Temp (°C),pH,DO (%),DO (mg/L)
10/4/23,October.2023,CRO,REF,17.1,7.47,83.5,8.06
10/5/23,October.2023,EAS,REF,15.7,6.82,42.3,4.2
10/5/23,October.2023,FRY,MID,15.2,7.54,52.5,5.27
10/4/23,October.2023,HCN,REF,13.8,7.56,62.6,6.48
10/4/23,October.2023,HUR,MID,15,7.61,84.5,8.51
10/3/23,October.2023,LLC,HI,15.7,7.91,96.3,9.51
10/3/23,October.2023,LLW,HI,16.6,8.27,90.3,8.76
10/5/23,October.2023,RIC,HI,16.9,8.44,92,8.85
10/5/23,October.2023,RUT,MID,16,8.17,86.5,8.52
2/24/24,February.2024,CRO,REF,5.4,7.56,91.1,11.51
2/24/24,February.2024,HCN,REF,6.4,7.57,90.4,11.15
2/24/24,February.2024,HUR,MID,6.8,7.72,90,10.99
2/25/24,February.2024,FRY,MID,4,8.09,93.4,12.22
2/25/24,February.2024,RIC,HI,6,8.45,92.7,11.52
2/25/24,February.2024,RUT,MID,4.7,8.03,90.1,11.6
2/25/24,February.2024,EAS,REF,6.3,7.66,86.1,10.73
2/26/24,February.2024,LLW,HI,10.3,8.54,89.8,10.12
2/26/24,February.2024,LLC,HI,9.6,7.54,91.1,10.36
5/23/24,May.2024,HCN,REF,15.8,7.09,92.3,9.15
5/23/24,May.2024,HUR,MID,15.5,7.68,92.9,9.27
5/23/24,May.2024,CRO,REF,17.2,7.45,92.4,8.88
5/24/24,May.2024,FRY,MID,16,8.01,92,9.08
5/24/24,May.2024,RIC,HI,16.8,8.3,93.4,9.02
5/24/24,May.2024,RUT,MID,17.1,8.02,91.1,8.77
5/24/24,May.2024,EAS,REF,14,7.45,89.7,9.23
5/25/24,May.2024,LLW,HI,14.8,8.1,94.1,9.51
5/25/24,May.2024,LLC,HI,18.6,7.74,94.8,8.84
8/5/24,August.2024,HUR,MID,18.9,7.61,94.5,8.77
8/5/24,August.2024,HCN,REF,20.5,7.5,83,7.45
8/6/24,August.2024,CRO,REF,19.7,7.53,81.4,8.36
8/6/24,August.2024,FRY,MID,19.4,8.07,92.2,8.48
8/6/24,August.2024,RIC,HI,20.8,8.38,95.7,8.53
8/6/24,August.2024,RUT,MID,20.9,8.06,90.3,8.04
8/6/24,August.2024,EAS,REF,18.7,7.38,85.3,7.96
8/7/24,August.2024,LLW,HI,19.6,8.32,93.9,8.57
8/7/24,August.2024,LLC,HI,23,7.89,96.2,8.21
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,